,school-name,matched_again,match_from,school_address
170,Indiana University Bloomington,"Bloomington, IN",Collegelist,
171,Purdue University,"(Purdue University, West Stadium Avenue, Wabash Shores, Tippecanoe County, Indiana, 47906, United States of America, (40.4319722, -86.9238935798))",Nominatum,"Purdue University, West Stadium Avenue, Wabash Shores, Tippecanoe County, Indiana, 47906, United States of America"
172,Babson College - Franklin W. Olin Graduate School of Business,"Babson Park, MA",Manual,
173,Gettysburg College,"Gettysburg, PA",Collegelist,
174,The Derryfield School,"(The Derryfield School, 2108, River Road, Manchester, Hillsborough County, New Hampshire, 03105, United States of America, (43.0361672, -71.4602373819))",Nominatum,"The Derryfield School, 2108, River Road, Manchester, Hillsborough County, New Hampshire, 03105, United States of America"
175,"University of Massachusetts, Amherst","Amherst, MA",Collegelist,
176,"University of Massachusetts, Amherst","Amherst, MA",Collegelist,
177,ICIL University,"(Inter System Express, Carrera 16, Lorica, Córdoba, 231020, Colombia, (9.2269205, -75.8202761367))",Nominatum,"Inter System Express, Carrera 16, Lorica, Córdoba, 231020, Colombia"
178,"University of California, Berkeley","Berkeley, CA",Collegelist,
179,Stanford Business School,"(Business School, Margaret Keay Road, Charnwood, Leicestershire, East Midlands, England, LE11 3UE, United Kingdom, (52.76719275, -1.22787161501))",Nominatum,"Business School, Margaret Keay Road, Charnwood, Leicestershire, East Midlands, England, LE11 3UE, United Kingdom"
180,University of Barcelona,"(University of Barcelona, Plaça dels Lleons, Horta, Horta-Guinardó, Barcelona, BCN, CAT, 08035, España, (41.43747015, 2.14450737114))",Nominatum,"University of Barcelona, Plaça dels Lleons, Horta, Horta-Guinardó, Barcelona, BCN, CAT, 08035, España"
181,Copenhagen Business School,"(Copenhagen Business School, 3, Solbjerg Plads, Frederiksberg, Frederiksberg Kommune, Region Hovedstaden, 2000, Danmark, (55.6816615, 12.529462066))",Nominatum,"Copenhagen Business School, 3, Solbjerg Plads, Frederiksberg, Frederiksberg Kommune, Region Hovedstaden, 2000, Danmark"
182,Brown University,"Providence, RI",Collegelist,
183,Northeastern University,"New York, NY",Collegelist,
184,Boston University,"Boston, MA",Collegelist,
185,Regis College,"(Regis College, 100, Wellesley Street West, Discovery District, Financial District, Toronto, Ontario, M5S 2S3, Canada, (43.66400615, -79.3902733313))",Nominatum,"Regis College, 100, Wellesley Street West, Discovery District, Financial District, Toronto, Ontario, M5S 2S3, Canada"
186,New England High School Journalism Collaborative,,,
187,Regent's University London,"(Regent's University, Inner Circle, Marylebone, City of Westminster, London, Greater London, England, NW1 4NS, United Kingdom, (51.52566385, -0.155864301539))",Nominatum,"Regent's University, Inner Circle, Marylebone, City of Westminster, London, Greater London, England, NW1 4NS, United Kingdom"
188,Northeastern University,"New York, NY",Collegelist,
189,Universidad de Cordoba,"(Universidad de Belgrano, Marcelo T. de Alvear, Barrio Norte, San Nicolás, CABA, C1060ABN, Argentina, (-34.5972555, -58.3891035))",Nominatum,"Universidad de Belgrano, Marcelo T. de Alvear, Barrio Norte, San Nicolás, CABA, C1060ABN, Argentina"
190,Wheaton College (MA),"Norton, MA",Collegelist,
191,EPITECH - European Institute of Technology,,,
192,"University of California, Santa Barbara","Santa Barbara, CA",Collegelist,
193,Center for Imaging Arts at Boston University (CDIA),,,
194,Salem State University,"Salem, MA",Collegelist,
195,Emerson College,"Boston, MA",Collegelist,
196,Newbury College,"Brookline, MA",Collegelist,
197,University of Idaho,"Moscow, ID",Collegelist,
198,China Europe International Business School (CEIBS),,,
199,Nankai University,"(南开大学, 复康路, 南开区, 南开区 (Nankai), 天津市, 300084, 中国, (39.1018241, 117.160937077))",Nominatum,"南开大学, 复康路, 南开区, 南开区 (Nankai), 天津市, 300084, 中国"
200,Brown University,"Providence, RI",Collegelist,
201,Ohio University,"Athens, OH",Collegelist,
202,Arizona State University,"Tempe, AZ",Collegelist,
203,Valparaiso University,"Valparaiso, IN",Collegelist,
204,University at Buffalo,"Buffalo, NY",Collegelist,
205,University of Utah,"Salt Lake City, UT",Collegelist,
206,"Cornwall Central High School, Cornwall, NY","(Cornwall Central High School, Shadowood, Meadowbrook, Town of Cornwall, Orange County, New York, 12553, United States of America, (41.4433832, -74.0735176853))",Nominatum,"Cornwall Central High School, Shadowood, Meadowbrook, Town of Cornwall, Orange County, New York, 12553, United States of America"
207,"University of California, Berkeley","Berkeley, CA",Collegelist,
208,"University of Massachusetts, Amherst","Amherst, MA",Collegelist,
209,Arizona State University,"Tempe, AZ",Collegelist,
210,University of Rhode Island,"Kingston, RI",Collegelist,
211,University of Rhode Island,"Kingston, RI",Collegelist,
